Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,170706_Blk_Blk0p2_1,I285.1445R8.18_HILICPos,8.68,0,0,0,#N/A,molecules1
molecules1,161107_Blk_MediaBlk_DiatomA,I285.1445R8.18_HILICPos,8.84,20090,0,6967,1,molecules1
molecules1,161107_Blk_MediaBlk_DiatomC,I285.1445R8.18_HILICPos,8.61,7373,0,5321,0.4,molecules1
molecules1,161107_Blk_MediaBlk_DiatomYBC,I285.1445R8.18_HILICPos,10.3,28567,0,6600,0.7,molecules1
molecules1,161107_Blk_MediaBlk_DiatomB,I285.1445R8.18_HILICPos,8.76,12977,0,6428,1.8,molecules1
molecules1,161107_Blk_MediaBlk_DiatomZ,I285.1445R8.18_HILICPos,8.67,912,0,1962,0,molecules1
molecules1,170410_Smp_KM1513-15m_A,I285.1445R8.18_HILICPos,9.24,139078960,9492172,9722521,-0.5,molecules1
molecules1,180702_Smp_S7E41D30_1,I285.1445R8.18_HILICPos,8.47,96761936,8000324,6721465,-0.1,molecules1
molecules1,161107_Smp_Cy_A,I285.1445R8.18_HILICPos,18.98,93658,0,18260,-3.8,molecules1
molecules1,161107_Smp_Cy_B,I285.1445R8.18_HILICPos,2,128862,0,34489,11.8,molecules1
molecules1,161107_Smp_Cy_C,I285.1445R8.18_HILICPos,2,178669,0,42727,7.6,molecules1
molecules1,161107_Smp_2090_A,I285.1445R8.18_HILICPos,3.34,22707,0,11826,0.4,molecules1
molecules1,161107_Smp_2090_B,I285.1445R8.18_HILICPos,0.34,46076,0,32530,8.9,molecules1
molecules1,161107_Smp_2090_C,I285.1445R8.18_HILICPos,6.5,26858,0,10454,0.9,molecules1
molecules1,161107_Smp_371_A,I285.1445R8.18_HILICPos,4.84,46093,0,9729,2.1,molecules1
molecules1,161107_Smp_371_B,I285.1445R8.18_HILICPos,2.02,98045,0,21773,8.7,molecules1
molecules1,161107_Smp_371_C,I285.1445R8.18_HILICPos,1.99,48905,0,13202,3.9,molecules1
molecules1,161107_Smp_To_A,I285.1445R8.18_HILICPos,13.26,511888,0,58104,-1.3,molecules1
molecules1,161107_Smp_To_B,I285.1445R8.18_HILICPos,13.23,125093,0,29569,-0.3,molecules1
molecules1,161107_Smp_To_C,I285.1445R8.18_HILICPos,13.18,64859,0,11423,0.1,molecules1
molecules1,161107_Smp_Tp_A,I285.1445R8.18_HILICPos,2.01,106166,0,62807,10.8,molecules1
molecules1,161107_Smp_Tp_E,I285.1445R8.18_HILICPos,1.94,50769,0,25474,9.6,molecules1
molecules1,161107_Smp_Tp_F,I285.1445R8.18_HILICPos,0.83,33479,0,8846,1.7,molecules1
molecules1,170706_Blk_Blk0p2_1,I152.0567R8.12_HILICPos,8.4,539962,0,47027,-0.8,molecules1
molecules1,161107_Blk_MediaBlk_DiatomA,I152.0567R8.12_HILICPos,8.69,2581240,0,225010,-1.6,molecules1
molecules1,161107_Blk_MediaBlk_DiatomC,I152.0567R8.12_HILICPos,8.7,1298821,0,106091,-1.5,molecules1
molecules1,161107_Blk_MediaBlk_DiatomYBC,I152.0567R8.12_HILICPos,8.65,833723,0,61818,-1.6,molecules1
molecules1,161107_Blk_MediaBlk_DiatomB,I152.0567R8.12_HILICPos,8.67,1164058,0,91632,-1.6,molecules1
molecules1,161107_Blk_MediaBlk_DiatomZ,I152.0567R8.12_HILICPos,8.67,596826,0,50647,-1.3,molecules1
molecules1,170410_Smp_KM1513-15m_A,I152.0567R8.12_HILICPos,8.7,1675238144,21305752,145692336,-0.4,molecules1
