Replicate Name,Blank Name
190122_Smp_MP2C44D0_A,190122_Blk_SWBlk_1
190122_Smp_MP2C44D0_B,190122_Blk_SWBlk_2
190122_Smp_MP2C44D0_C,190122_Blk_SWBlk_3
190122_Smp_MP2C44D110_A,190122_Blk_SWBlk_1
190122_Smp_MP2C44D110_B,190122_Blk_SWBlk_2
190122_Smp_MP2C44D110_C,190122_Blk_SWBlk_3
190122_Smp_MP2C44D150_A,190122_Blk_SWBlk_1
190122_Smp_MP2C44D150_B,190122_Blk_SWBlk_2
190122_Smp_MP2C44D150_C,190122_Blk_SWBlk_3
190122_Smp_MP2C44D200_A,190122_Blk_SWBlk_1
190122_Smp_MP2C44D200_B,190122_Blk_SWBlk_2
190122_Smp_MP2C44D200_C,190122_Blk_SWBlk_3
190122_Smp_MP2C44D275_A,190122_Blk_SWBlk_1
190122_Smp_MP2C44D275_B,190122_Blk_SWBlk_2
190122_Smp_MP2C44D275_C,190122_Blk_SWBlk_3
190122_Smp_MP2C44D400_A,190122_Blk_SWBlk_1
190122_Smp_MP2C44D400_B,190122_Blk_SWBlk_2
190122_Smp_MP2C44D400_C,190122_Blk_SWBlk_3
190122_Smp_MP2C44D50_A,190122_Blk_SWBlk_1
190122_Smp_MP2C44D50_B,190122_Blk_SWBlk_2
190122_Smp_MP2C44D50_C,190122_Blk_SWBlk_3
190122_Smp_MP2C44D75_A,190122_Blk_SWBlk_1
190122_Smp_MP2C44D75_B,190122_Blk_SWBlk_2
190122_Smp_MP2C44D75_C,190122_Blk_SWBlk_3
