Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Standards_pos,190122_Std_4uMStdsMix1InH2O_1,Acetyl-L-carnitine,7,1713277696,24549570,89915816,-2.4,Standards_pos
Standards_pos,190122_Std_4uMStdsMix1InH2O_2,Acetyl-L-carnitine,7.49,1870379776,20816434,107703848,-3.1,Standards_pos
Standards_pos,190122_Std_4uMStdsMix1InMatrix_1,Acetyl-L-carnitine,7.6,1910868608,18109392,110523888,-2.3,Standards_pos
Standards_pos,190122_Std_4uMStdsMix1InMatrix_2,Acetyl-L-carnitine,7.46,2003218688,23017362,109511600,-2.2,Standards_pos
Standards_pos,190122_Std_4uMStdsMix2InH2O_1,Acetyl-L-carnitine,7.45,170618,0,12833,-1.6,Standards_pos
Standards_pos,190122_Std_4uMStdsMix2InH2O_2,Acetyl-L-carnitine,7.69,449087,0,65146,2.8,Standards_pos
Standards_pos,190122_Std_4uMStdsMix2InMatrix_1,Acetyl-L-carnitine,7.62,22348900,0,1277206,-2.2,Standards_pos
Standards_pos,190122_Std_4uMStdsMix2InMatrix_2,Acetyl-L-carnitine,7.5,21642156,224797,1147943,-1.7,Standards_pos
Standards_pos,190122_Std_H2OinMatrix_1,Acetyl-L-carnitine,7.61,22009704,768670,1283361,-2.1,Standards_pos
Standards_pos,190122_Std_H2OinMatrix_2,Acetyl-L-carnitine,7.5,21531386,0,1195065,-2.3,Standards_pos
Standards_pos,190122_Blk_FilterBlk_1,Acetyl-L-carnitine,7.28,149546,39803,7741,-1.3,Standards_pos
Standards_pos,190122_Blk_MP2C44Blk_A,Acetyl-L-carnitine,7.56,10820,186622,3473,-1.5,Standards_pos
Standards_pos,190122_Blk_MP2C44Blk_B,Acetyl-L-carnitine,7.65,99223,191075,11184,-1.9,Standards_pos
Standards_pos,190122_Blk_MP2C44Blk_C,Acetyl-L-carnitine,7.49,66901,85613,9168,-1.6,Standards_pos
Standards_pos,190122_Blk_SWBlk_1,Acetyl-L-carnitine,7.71,1082300,0,60242,-2.6,Standards_pos
Standards_pos,190122_Blk_SWBlk_2,Acetyl-L-carnitine,7.8,180795,143596,56685,0,Standards_pos
Standards_pos,190122_Blk_SWBlk_3,Acetyl-L-carnitine,7.73,248236,84819,105983,1.2,Standards_pos
Standards_pos,190122_Poo_Day1and2Poo_Full1,Acetyl-L-carnitine,7.62,33957372,1021129,1954992,-1.8,Standards_pos
Standards_pos,190122_Poo_Day1and2Poo_Full2,Acetyl-L-carnitine,7.66,34598824,725144,2091696,-2.4,Standards_pos
Standards_pos,190122_Poo_Day1and2Poo_Full3,Acetyl-L-carnitine,7.66,34929048,656494,2037543,-2.3,Standards_pos
Standards_pos,190122_Poo_Day1and2Poo_Full4,Acetyl-L-carnitine,7.62,36667528,30986,2138265,-2.1,Standards_pos
Standards_pos,190122_Poo_Day1and2Poo_Half1,Acetyl-L-carnitine,7.57,17171068,143688,993405,-1.7,Standards_pos
Standards_pos,190122_Poo_Day1and2Poo_Half2,Acetyl-L-carnitine,7.62,18038824,27315,963907,-2.1,Standards_pos
Standards_pos,190122_Poo_Day1and2Poo_Half3,Acetyl-L-carnitine,7.58,19249040,117719,1066049,-2.3,Standards_pos
Standards_pos,190122_Poo_Day1and2Poo_Half4,Acetyl-L-carnitine,7.61,19722374,0,1201265,-2.1,Standards_pos
Standards_pos,190122_Smp_DOS-1070m_1,Acetyl-L-carnitine,7.62,1238900,427006,78177,-0.8,Standards_pos
Standards_pos,190122_Smp_DOS-1070m_2,Acetyl-L-carnitine,7.37,1770793,364024,318000,0.3,Standards_pos
Standards_pos,190122_Smp_DOS-1070m_3,Acetyl-L-carnitine,7.75,1207435,325603,198726,-0.7,Standards_pos
Standards_pos,190122_Smp_DOS-120m_1,Acetyl-L-carnitine,7.64,10725707,84928,615513,-2.4,Standards_pos
Standards_pos,190122_Smp_DOS-120m_2,Acetyl-L-carnitine,7.61,11067327,972603,641409,-2.6,Standards_pos
Standards_pos,190122_Smp_DOS-120m_3,Acetyl-L-carnitine,7.52,10166253,0,555519,-2.4,Standards_pos
Standards_pos,190122_Smp_DOS-15m_1,Acetyl-L-carnitine,7.63,18954822,198150,1005115,-2.2,Standards_pos
Standards_pos,190122_Smp_DOS-15m_2,Acetyl-L-carnitine,7.59,18161550,1026586,1153038,-2.7,Standards_pos
Standards_pos,190122_Smp_DOS-15m_3,Acetyl-L-carnitine,7.59,19569290,89759,1108764,-2.1,Standards_pos
Standards_pos,190122_Smp_DOS-3000m_1,Acetyl-L-carnitine,7.34,999443,88571,163341,0.1,Standards_pos
Standards_pos,190122_Smp_DOS-3000m_2,Acetyl-L-carnitine,7.88,868295,268662,53307,0.1,Standards_pos
Standards_pos,190122_Smp_DOS-3000m_3,Acetyl-L-carnitine,7.47,556614,464529,109657,1.8,Standards_pos
Standards_pos,190122_Smp_DOS-300m_1,Acetyl-L-carnitine,7.68,7374009,343149,390780,-2.1,Standards_pos
Standards_pos,190122_Smp_DOS-300m_2,Acetyl-L-carnitine,7.46,7779881,1454759,450262,-1,Standards_pos
Standards_pos,190122_Smp_DOS-300m_3,Acetyl-L-carnitine,7.5,6395276,181754,340505,-2.1,Standards_pos
Standards_pos,190122_Smp_DOS-45m_1,Acetyl-L-carnitine,7.58,18539686,265375,1105709,-2.4,Standards_pos
Standards_pos,190122_Smp_DOS-45m_2,Acetyl-L-carnitine,7.58,18033160,926048,1037353,-2.2,Standards_pos
Standards_pos,190122_Smp_DOS-45m_3,Acetyl-L-carnitine,7.64,18629726,525882,1167417,-2.2,Standards_pos
Standards_pos,190122_Smp_DOS-590m_1,Acetyl-L-carnitine,7.64,3898685,498810,230165,-2.3,Standards_pos
Standards_pos,190122_Smp_DOS-590m_2,Acetyl-L-carnitine,7.58,3492442,888959,265833,-1.8,Standards_pos
Standards_pos,190122_Smp_DOS-590m_3,Acetyl-L-carnitine,7.63,3689144,476572,208894,-2.4,Standards_pos
Standards_pos,190122_Smp_DOS-90m_1,Acetyl-L-carnitine,7.6,29146962,176697,1711328,-2.9,Standards_pos
Standards_pos,190122_Smp_DOS-90m_2,Acetyl-L-carnitine,7.63,30897304,633397,1819748,-2.4,Standards_pos
Standards_pos,190122_Smp_DOS-90m_3,Acetyl-L-carnitine,7.55,3666112,10728,203376,-2.3,Standards_pos
Standards_pos,190122_Smp_MP1C62D10_1,Acetyl-L-carnitine,7.71,200944928,2174003,12201595,-1.8,Standards_pos
Standards_pos,190122_Smp_MP1C62D10_2,Acetyl-L-carnitine,7.7,220190032,3609134,12884782,-2.2,Standards_pos
Standards_pos,190122_Smp_MP1C62D10_3,Acetyl-L-carnitine,7.72,208587056,1271003,12506795,-2.1,Standards_pos
Standards_pos,190122_Smp_MP1C62D1000_1,Acetyl-L-carnitine,7.68,6300957,85365,362147,-2.5,Standards_pos
Standards_pos,190122_Smp_MP1C62D1000_2,Acetyl-L-carnitine,100,7622498,75070,423039,-1.9,Standards_pos
Standards_pos,190122_Smp_MP1C62D1000_3,Acetyl-L-carnitine,7.61,7493295,485356,425256,-1.6,Standards_pos
Standards_pos,190122_Smp_MP1C62D150_1,Acetyl-L-carnitine,7.66,8374184,1032911,515792,-2.5,Standards_pos
Standards_pos,190122_Smp_MP1C62D150_2,Acetyl-L-carnitine,7.66,10344705,734516,588876,-2.1,Standards_pos
Standards_pos,190122_Smp_MP1C62D150_3,Acetyl-L-carnitine,7.66,9945347,1322829,584999,-2.1,Standards_pos
Standards_pos,190122_Smp_MP1C62D1500_1,Acetyl-L-carnitine,7.61,8290106,262206,535659,-2.2,Standards_pos
Standards_pos,190122_Smp_MP1C62D1500_2,Acetyl-L-carnitine,7.61,9397536,323840,535756,-1.7,Standards_pos
Standards_pos,190122_Smp_MP1C62D1500_3,Acetyl-L-carnitine,7.59,9649836,970224,559953,-1.8,Standards_pos
